ticket_id,description,root_cause,resolution
KAFKA-12730,"A single Kerberos login failure fails all future connections from Java 9 onwards. The refresh thread for Kerberos performs re-login by logging out and then logging in again. If login fails, we retry after a backoff. Every iteration of the loop performs loginContext.logout() and loginContext.login(). If login fails, we end up with two consecutive logouts. This used to work, but from Java 9 onwards, this results in a NullPointerException due to https://bugs.openjdk.java.net/browse/JDK-8173069. We should check if logout is required before attempting logout.",A single Kerberos login failure fails all future connections from Java 9 onwards.,Fixed
KAFKA-12726,"misbehaving Task.stop() can prevent other Tasks from stopping. We've observed a misbehaving Task fail to stop in a timely manner (e.g. stuck in a retry loop). Despite Connect supporting a property task.shutdown.graceful.timeout.ms, this is currently not enforced – tasks can take as long as they want to stop, and the only consequence is an error message.  We've seen a Worker's ""task-count"" metric double following a rebalance, which we think is due to Tasks not getting cleaned up when Task.stop() is stuck.  While the Connector implementation is ultimately to blame here – a Task probably shouldn't loop forever in stop() – we believe the Connect runtime should handle this situation more gracefully.",Tasks not getting cleaned up when Task.stop() is stuck.,"Relevant tests here: https://github.com/apache/kafka/pull/10629 | Closing as duplicate. | Thanks for the detailed analysis [~ChrisEgerton]. I added some tests to BlockingConnectorTests that try to recreate the issue, but the tests all pass against trunk. Checking with me team, turns out we"
KAFKA-12718,"SessionWindows are closed too early. SessionWindows are defined based on a {{gap}} parameter, and also support an additional {{grace-period}} configuration to handle out-of-order data.  To incorporate the session-gap a session window should only be closed at {{window-end + gap}} and to incorporate grace-period, the close time should be pushed out further to {{window-end + gap + grace}}.  However, atm we compute the window close time as {{window-end + grace}} omitting the {{gap}} parameter.  Because default grace-period is 24h most users might not notice this issues. Even if they set a grace period explicitly (eg, when using suppress()), they would most likely set a grace-period larger than gap-time not hitting the issue (or maybe only realize it when inspecting the behavior closely).  However, if a user wants to disable the g",default grace-period is 24h most users might not notice this issues.,"For flaky tests that fail more recently, we create Jira tickets. But in general, you don't need to worry about it and the reviewer will guide you. – As long as it's not a compile or checkstyle error,  | I see. But yes that was what I meant. Thanks for looking at the issue and explaining what you're concerned about as it relates to builds. I'd heard about flake tests from the contribution instructions | Not sure what you mean. Just looked at your PR (and left a few nit comments), and it seems there are no conflict and that Jenkins passed? (One build failed with a know flaky test, so we can ignore it)"
KAFKA-12702,"Unhandled exception caught in InterBrokerSendThread. In kraft mode, if listeners and advertised.listeners are not configured with host addresses, the host parameter value of Listener in BrokerRegistrationRequestData will be null. When the broker is started, a null pointer exception will be thrown, causing startup failure.  A feasible solution is to replace the empty host of endPoint in advertisedListeners with InetAddress.getLocalHost.getCanonicalHostName in Broker Server when building networkListeners.  The following is the debug log:  before fixing:  [2021-04-21 14:15:20,032] DEBUG (broker-2-to-controller-send-thread org.apache.kafka.clients.NetworkClient 522) [broker-2-to-controller] Sending BROKER_REGISTRATION request with header RequestHeader(apiKey=BROKER_REGIS TRATION, apiVersion=0, clientId=2, correlationId=6) and timeout 30000 to no","We need to fix this problem, because according to the comments in the configuration file (config/kraft/server.properties), if listeners and advertised.listeners are not configured with an address, the.","We need to fix this problem, because according to the comments in the configuration file (config/kraft/server.properties), if listeners and advertised.listeners are not configured with an address, the"
KAFKA-12700,"The admin.listeners config has wonky valid values in the docs. Noticed this while updating the docs for the 2.6.2 release, the docs for these configs are generated from the config definition, including info such as default, type, valid values, etc.   When defining WorkerConfig.ADMIN_LISTENERS_CONFIG we seem to pass an actual `new AdminListenersValidator()` object in for the ""valid values"" parameter, causing this field to display some wonky useless object reference in the docs. See https://kafka.apache.org/documentation/#connectconfigs_admin.listeners:  Valid Values:	org.apache.kafka.connect.runtime.WorkerConfig$AdminListenersValidator@383534aa",The admin.listeners config has wonky valid values in the docs.,Nice catch!!
KAFKA-12691,TaskMetadata timeSinceIdlingStarted not reporting correctly. TaskMetadata timeSinceIdlingStarted not reporting correctly. It takes into account suspended but not the call to is processable. To fix this we need to record when the first time it is not processable. ,TaskMetadata timeSinceIdlingStarted not reporting correctly.,Fixed
KAFKA-12686,"Race condition in AlterIsr response handling. In Partition.scala, there is a race condition between the handling of an AlterIsrResponse and a LeaderAndIsrRequest. This is a pretty rare scenario and would involve the AlterIsrResponse being delayed for some time, but it is possible. This was observed in a test environment when lots of ISR and leadership changes were happening due to broker restarts.  When the leader handles the LeaderAndIsr, it calls Partition#makeLeader which overrides the {{isrState}} variable and clears the pending ISR items via {{AlterIsrManager#clearPending(TopicPartition)}}.   The bug is that AlterIsrManager does not check its inflight state before clearing pending items. The way AlterIsrManager is designed, it retains inflight items in the pending items collection until the response is processed (to allow for ret",that AlterIsrManager does not check its inflight state before clearing pending items.,Fixed
KAFKA-12684,"The valid partition list is incorrectly replaced by the successfully elected partition list. When using the kafka-election-tool for preferred replica election, if there are partitions in the elected list that are in the preferred replica, the list of partitions already in the preferred replica will be replaced by the successfully elected partition list.   ",The valid partition list is incorrectly replaced by the successfully elected partition list.,Fixed
KAFKA-12677,"The raftCluster always send to the wrong active controller and never update. We introduce KIP-500 to introduce a Self-Managed Metadata Quorum. We should always have 1 active controller, and all the RPC will send to the active controller. But there's chances that the active controller already changed, but the RPC still send to the old one.  In the attachment log, we can see: {code:java} [Controller 3002] Becoming active at controller epoch 1.  ... [Controller 3000] Becoming active at controller epoch 2.  {code} So, the latest active controller should be 3000. But the create topic RPC are all sending to controller 3002: {code:java} ""errorMessage"":""The active controller appears to be node 3000"" {code} This bug causes the RaftClusterTests flaky.     Debug log while running testCreateClusterAndCreateListDeleteTopic test: https://drive.google.com/file/d/1WVUgy1Erjx8mHyof",The raftCluster always send to the wrong active controller and never update.,"Go for it [~showuon] | [~cmccabe], I've found the root cause of this issue, and have a fix to it. Do you mind if I take over this ticket? Thank you. | [~showuon]: thanks for looking at this.  This test failure has been frustrating everyone for a while.  It's great that you reproduced it with DEBUG logging.  bq. The raftCluster always send to the wro"
KAFKA-12672,Running test-kraft-server-start results in error. Running the {{test-kraft-server-start}} script in the {{raft}} module results in this error    {code:java} ERROR Exiting raft server due to fatal exception (kafka.tools.TestRaftServer$) java.lang.IllegalArgumentException: No enum constant org.apache.kafka.common.security.auth.SecurityProtocol. 	at java.lang.Enum.valueOf(Enum.java:238) 	at org.apache.kafka.common.security.auth.SecurityProtocol.valueOf(SecurityProtocol.java:26) 	at org.apache.kafka.common.security.auth.SecurityProtocol.forName(SecurityProtocol.java:72) 	at kafka.raft.KafkaRaftManager.$anonfun$buildNetworkClient$1(RaftManager.scala:256) 	at scala.collection.immutable.Map$Map4.getOrElse(Map.scala:530) 	at kafka.raft.KafkaRaftManager.buildNetworkClient(RaftManager.scala:256) 	at kafka.raft.KafkaRaftManager.buildNetworkChannel(R,Running test-kraft-server-start results in error.,Fixed
KAFKA-12667,"Incorrect error log on StateDirectory close. {{In StateDirectory.close() an error is logged about unclean shutdown if all locks are in fact released, and nothing is logged in case of an unclean shutdown.}}    {code:java} // all threads should be stopped and cleaned up by now, so none should remain holding a lock if (locks.isEmpty()) {  log.error(""Some task directories still locked while closing state, this indicates unclean shutdown: {}"", locks); }  {code}  ",Not explicitly documented.,"Thanks [~antrenta]. As Bruno mentioned, we did discover this bug and fixed it in trunk, but unfortunately missed the 2.6.2, 2.7.1, and 2.8.0 releases which have all been in the release process.  I'm h | [~antrenta] Thank you for the ticket! This seems indeed a bug to me. It is too late to submit a bug fix for the two upcoming releases 2.7.1 and 2.6.2. However, I marked this ticket as important for th"
KAFKA-12661,"ConfigEntry#equal does not compare other fields when value is NOT null . {code:java}         return this.name.equals(that.name) &&                 this.value != null ? this.value.equals(that.value) : that.value == null &&                 this.isSensitive == that.isSensitive &&                 this.isReadOnly == that.isReadOnly &&                 this.source == that.source &&                 Objects.equals(this.synonyms, that.synonyms); {code}  the second value of ternary operator is ""that.value == null &&                 this.isSensitive == that.isSensitive &&                 this.isReadOnly == that.isReadOnly &&                 this.source == that.source &&                 Objects.equals(this.synonyms, that.synonyms);"" rather than ""that.value == null"". Hence, it does not compare other fields when value is not null.","Hence, it does not compare other fields when value is not null.",Fixed
KAFKA-12660,"Do not update offset commit sensor after append failure. In the append callback after writing an offset to the log in `GroupMetadataManager`, It seems wrong to update the offset commit sensor prior to checking for errors: https://github.com/apache/kafka/blob/trunk/core/src/main/scala/kafka/coordinator/group/GroupMetadataManager.scala#L394. ",Do not update offset commit sensor after append failure.,"[~kirktrue] Thank you for your attention, but I have already opened a PR for this issue: [https://github.com/apache/kafka/pull/10560,] are you interested in reviewing it? | [~dengziming] - can I take a look at this? I have some spare cycles to investigate and hopefully fix."
KAFKA-12658,"bin/kafka-metadata-shell.sh cannot find or load main class org.apache.kafka.shell.MetadataShell. With the latest release candidate for 2.8.0, the binaries from the Scala 2.13 and 2.12 tarballs are not finding the class for the meta data shell from the classpath  [https://home.apache.org/~vvcephei/kafka-2.8.0-rc1/]   kafka-run-class.sh is not able to load it.   cd ../kafka_2.12-2.8.0$    bin/kafka-metadata-shell.sh --help Error: Could not find or load main class org.apache.kafka.shell.MetadataShell Caused by: java.lang.ClassNotFoundException: org.apache.kafka.shell.MetadataShell  cd ../kafka_2.13-2.8.0/   bin/kafka-metadata-shell.sh --help Error: Could not find or load main class org.apache.kafka.shell.MetadataShell Caused by: java.lang.ClassNotFoundException: org.apache.kafka.shell.MetadataShell !https://ssl.gstatic.com/ui/v1/icons/mail/images/cleardot.gif!  ",bin/kafka-metadata-shell.sh cannot find or load main class org.apache.kafka.shell.MetadataShell.,Fixed
KAFKA-12655,CVE-2021-28165 - Upgrade jetty to 9.4.39. *CVE-2021-28165* vulnerability affects Jetty versions up to *9.4.38*. For more information see [https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-28165]   Upgrading to Jetty version *9.4.39* should address this issue ([https://github.com/eclipse/jetty.project/releases/tag/jetty-9.4.39.v20210325)|https://github.com/eclipse/jetty.project/releases/tag/jetty-9.4.39.v20210325].,CVE-2021-28165 - Upgrade jetty to 9.4.39. *CVE-2021-28165* vulnerability affects Jetty versions up to *9.4.38*.,Seems like this was not back-ported to 2.7.1. Can someone confirm? 
KAFKA-12650,NPE in InternalTopicManager#cleanUpCreatedTopics. {code:java} java.lang.NullPointerException 	at org.apache.kafka.streams.processor.internals.InternalTopicManager.cleanUpCreatedTopics(InternalTopicManager.java:675) 	at org.apache.kafka.streams.processor.internals.InternalTopicManager.maybeThrowTimeoutExceptionDuringSetup(InternalTopicManager.java:755) 	at org.apache.kafka.streams.processor.internals.InternalTopicManager.processCreateTopicResults(InternalTopicManager.java:652) 	at org.apache.kafka.streams.processor.internals.InternalTopicManager.setup(InternalTopicManager.java:599) 	at org.apache.kafka.streams.processor.internals.InternalTopicManagerTest.shouldOnlyRetryNotSuccessfulFuturesDuringSetup(InternalTopicManagerTest.java:180) {code} ,Not explicitly documented.,"[~mjsax] [~ableegoldman] , Thank you for reporting this and providing a PR! I commented on the PR. | [https://github.com/apache/kafka/pull/10042/checks?check_run_id=2319410471]  | This was from InternalTopicManagerTest.shouldOnlyRetryNotSuccessfulFuturesDuringSetup() btw.  https://ci-builds.apache.org/job/Kafka/job/kafka-pr/job/PR-10411/12/testReport/junit/org.apache.kafka.stre"
KAFKA-12626,"RaftClusterTest and ClusterTestExtensionTest failures. RaftClusterTest and ClusterTestExtensionsTest.[Quorum 2] Name=cluster-tests-2, security=PLAINTEXT are failing due to {noformat} java.util.concurrent.ExecutionException: java.lang.ClassNotFoundException: org.apache.kafka.controller.NoOpSnapshotWriterBuilder{noformat} I think it is related to the changes from [https://github.com/apache/kafka/commit/7bc84d6ced71056dbb4cecdc9abbdbd7d8a5aa10#diff-77dc2adb187fd078084644613cff2b53021c8a5fbcdcfa116515734609d1332aR210]  specifically this part of the code [https://github.com/apache/kafka/blob/33d0445b8408289800352de7822340028782a154/metadata/src/main/java/org/apache/kafka/controller/QuorumController.java#L210]",I think it is related to the changes from [ specifically this part of the code [.,This should be fixed by https://github.com/apache/kafka/pull/10496
KAFKA-12621,"Kafka setup with Zookeeper- specifying an alternate znode creates the configuration at the wrong znode. While configuring kafka with an znode apart from ""/"", the configuration is created in the wrong znode. Fo example, I have the following entry in my server.properties  _zookeeper.connect=10.114.103.207:2181/kafka_secondary_cluster,10.114.103.206:2181/kafka_secondary_cluster,10.114.103.205:2181/kafka_secondary_cluster_  The IPs are the IP addresses of the nodes of zookeeper cluster. I expect the kafka server to use _kafka_secondary_cluster_ as the znode in the zookeeper nodes. But, the znode which is created is actually  _/kafka_secondary_cluster,10.114.103.206:2181/kafka_secondary_cluster,10.114.103.205:2181/kafka_secondary_cluster_  Executing ls on the above path shows me the necessary znodes being created in that path  _[zk: localhost:2181(CONNECTED) 1] ls /kafka_secondary_cluster,10.114.",Kafka setup with Zookeeper- specifying an alternate znode creates the configuration at the wrong znode.,"Incorrect configuration on my part | Thanks! I completely missed that. | Based on various examples, you only need the znode on the very last entry  This is also stated as such in the docs - https://kafka.apache.org/documentation/#brokerconfigs_zookeeper.connect"
KAFKA-12619,"Ensure LeaderChange message is committed before initializing high watermark. KIP-595 describes an extra condition on commitment here: https://cwiki.apache.org/confluence/display/KAFKA/KIP-595%3A+A+Raft+Protocol+for+the+Metadata+Quorum#KIP595:ARaftProtocolfortheMetadataQuorum-Fetch. In order to ensure that a newly elected leader's committed entries cannot get lost, it must commit one record from its own epoch. This guarantees that its latest entry is larger (in terms of epoch/offset) than any previously written record which ensures that any future leader must also include it. This is the purpose of the LeaderChange record which is written to the log as soon as the leader gets elected.  We have this check implemented here: https://github.com/apache/kafka/blob/trunk/raft/src/main/java/org/apache/kafka/raft/LeaderState.java#L122. However, the check needs to be a strict","In order to ensure that a newly elected leader's committed entries cannot get lost, it must commit one record from its own epoch.",Fixed
KAFKA-12611,"Fix using random payload in ProducerPerformance incorrectly. In ProducerPerformance, random payload always same. it has a great impact when use the compression.type option.","In ProducerPerformance, random payload always same. it has a great impact when use the compression.type option.",Fixed
KAFKA-12602,The LICENSE and NOTICE files don't list everything they should. [~jmclean] raised this on the mailing list: [https://lists.apache.org/thread.html/r2df54c11c10d3d38443054998bc7dd92d34362641733c2fb7c579b50%40%3Cdev.kafka.apache.org%3E]     We need to make  the license file match what we are actually shipping in source and binary distributions.,The LICENSE and NOTICE files don't list everything they should.,"Just filed https://issues.apache.org/jira/browse/KAFKA-12625 to fix the NOTICE file.  This is the last loose end, so I'll go ahead and close this ticket. | I created subtasks for 2.7 and 2.6.  Also created https://issues.apache.org/jira/browse/KAFKA-12622 to automate a check. | Thank you, [~jmclean] ,     There weren't too many BSD or MIT licenses, so I've gone ahead and just copied the exact license files from each one of those dependencies. Thanks for the feedback.  I also"
KAFKA-12593,"Some Scala, Python, and Gradle files contain the wrong license header. Thanks to [~jmclean] for raising this issue in the mailing list thread:  [https://lists.apache.org/thread.html/r2df54c11c10d3d38443054998bc7dd92d34362641733c2fb7c579b50%40%3Cdev.kafka.apache.org%3E]   ","Some Scala, Python, and Gradle files contain the wrong license header.","Thanks for the confirmation, [~jmclean] ! | In general: - If the work was done at the ASF it should use ASF headers and not have a copyright line and you should not add anything to NOTICE. [1] - If the work come in as an SGA then it should be u | Thanks for the reminder, Sophie. I had forgotten to look in the python and gradle files. I believe all the copyright notices are fixed now."
KAFKA-12583,"Upgrade of netty-codec due to CVE-2021-21295. Our security tool raised the following security flaw on kafka 2.7: [https://nvd.nist.gov/vuln/detail/CVE-2021-21295]  It is a vulnerability related to jar *netty-codec-4.1.51.Final.jar*.  Looking at source code, the netty-codec in trunk and 2.7.0 branches are still vulnerable.  Based on netty issue tracker, the vulnerability is fixed in 4.1.60.Final: https://github.com/netty/netty/security/advisories/GHSA-wm47-8v5p-wjpj",Upgrade of netty-codec due to CVE-2021-21295.,"We don't use netty for http2 in Kafka, so I don't think the CVE applies. In any case, we upgraded."
KAFKA-12557,"org.apache.kafka.clients.admin.KafkaAdminClientTest#testClientSideTimeoutAfterFailureToReceiveResponse intermittently hangs indefinitely. While running tests for [https://github.com/apache/kafka/pull/10397,] I got a test timeout under Java 8.  I ran it locally via `./gradlew clean -PscalaVersion=2.12 :clients:unitTest --profile --no-daemon --continue -PtestLoggingEvents=started,passed,skipped,failed -PignoreFailures=true -PmaxTestRetries=1 -PmaxTestRetryFailures=5` (copied from the Jenkins log) and was able to determine that the hanging test is:  org.apache.kafka.clients.admin.KafkaAdminClientTest#testClientSideTimeoutAfterFailureToReceiveResponse  It's odd, but it hangs most times on my branch, and I haven't seen it hang on trunk, despite the fact that my PR doesn't touch the client or core code at all.  Some debugging reveals that when the client is hanging, it's because the listTopics request is still sitting in its pendi",the listTopics request is still sitting in its pendi.,Fixed
KAFKA-12548,"Invalid record error message is not getting sent to application. The ProduceResponse includes a nice record error message when we return INVALID_RECORD_ERROR. Sadly this is getting discarded by the producer, so the user never gets a chance to see it.","Sadly this is getting discarded by the producer, so the user never gets a chance to see it.",Fixed
KAFKA-12537,"Single Threaded applications will not work with SHUTDOWN_APPLICATION. Single Threaded EOS applications will not work with the streams uncaught exception handler option SHUTDOWN_APPLICATION. This is because the EOS thread needs to close and clean up, but to send the shutdown signal it needs to have at least one thread running.","the EOS thread needs to close and clean up, but to send the shutdown signal it needs to have at least one thread running.","It maybe possible to add a thread, have that send the shutdown signal then the whole things will come down"
KAFKA-12523,"Need to improve handling of TimeoutException when committing offsets. Right now, in TaskManager#commitOffsetsOrTransaction if we  catch a TimeoutException then under ALOS we just rethrow it while in EOS we rethrow it as TaskCorruptedException. The problem is that commitOffsetsOrTransaction can be invoked from several places: # Commit within StreamThread main processing loop (either user requested or commit interval has elapsed: this is presumably the case we had in mind when deciding how to handle the TimeoutException in commitOffsetsOrTransaction , no problem here # Clean shutdown of application: a bit weird to throw a TaskCorruptedException in this case, but it’ll just end up being caught and forcing a closeDirty, so again no problem here # From TaskManager#handleRevocation: in this case, it’s possible we hit a TimeoutException on a task that’s actually be",Need to improve handling of TimeoutException when committing offsets.,Fixed
KAFKA-12522,"Cast SMT should allow null value records to pass through . The [current Cast SMT|https://github.com/apache/kafka/blob/trunk/connect/transforms/src/main/java/org/apache/kafka/connect/transforms/Cast.java] fails on a null record value (or a null record key), which is problematic for tombstone records. When a tombstone record reaches the transformation the error below is thrown:  {code:java} Caused by: org.apache.kafka.connect.errors.DataException: Only Map objects supported in absence of schema for [cast types], found: null at org.apache.kafka.connect.transforms.util.Requirements.requireMap(Requirements.java:38) {code}  Null values should instead be allowed to pass through as there is no cast transformation to be done, with the benefit of allowing the connector to handle the tombstone records as intended. ",Cast SMT should allow null value records to pass through.,Fixed
KAFKA-12520,"Producer state is needlessly rebuilt on startup. When we find a {{.swap}} file on startup, we typically want to rename and replace it as {{.log}}, {{.index}}, {{.timeindex}}, etc. as a way to complete any ongoing replace operations. These swap files are usually known to have been flushed to disk before the replace operation begins.  One flaw in the current logic is that when we recover these swap files on startup, we end up truncating the producer state and rebuild it from scratch. This is unneeded as the replace operation does not mutate the producer state by itself. It is only meant to replace the {{.log}} file along with corresponding indices.  Because of this unneeded producer state rebuild operation, we have seen multi-hour startup times for clusters that have large compacted topics.","of this unneeded producer state rebuild operation, we have seen multi-hour startup times for clusters that have large compacted topics.",merged the PR to trunk
KAFKA-12514,"NPE in SubscriptionState. In a soak test, we got this exception:    {code:java} java.lang.NullPointerException	at org.apache.kafka.clients.consumer.internals.SubscriptionState.partitionLag(SubscriptionState.java:545)	at org.apache.kafka.clients.consumer.KafkaConsumer.currentLag(KafkaConsumer.java:2241)	at org.apache.kafka.streams.processor.internals.PartitionGroup.readyToProcess(PartitionGroup.java:143)	at org.apache.kafka.streams.processor.internals.StreamTask.isProcessable(StreamTask.java:650)	at org.apache.kafka.streams.processor.internals.StreamTask.process(StreamTask.java:661)	at org.apache.kafka.streams.processor.internals.TaskManager.process(TaskManager.java:1114) {code} This is related to the implementation of:  [https://cwiki.apache.org/confluence/display/KAFKA/KIP-695%3A+Further+Improve+Kafka+Streams+Time",NPE in SubscriptionState.,Fixed
KAFKA-12508,"Emit-on-change tables may lose updates on error or restart in at_least_once. [KIP-557|https://cwiki.apache.org/confluence/display/KAFKA/KIP-557%3A+Add+emit+on+change+support+for+Kafka+Streams] added emit-on-change semantics to KTables that suppress updates for duplicate values.  However, this may cause data loss in at_least_once topologies when records are retried from the last commit due to an error / restart / etc.     Consider the following example: {code:java} streams.table(source, materialized) .toStream() .map(mayThrow()) .to(output){code}    # Record A gets read  # Record A is stored in the table  # The update for record A is forwarded through the topology  # Map() throws (or alternatively, any restart while the forwarded update was still being processed and not yet produced to the output topic)  # The stream is restarted and ""retries"" from the last commit  ",Emit-on-change tables may lose updates on error or restart in at_least_once.,"Disabled KIP-557 entirely. | Thanks [~cmaus] , I think you're right.  Since this feature is purely an optimization, and since it doesn't seem like we're going to be able to patch it up to avoid these data loss conditions, I'm jus | I'm wondering if emit-on-change tables can be safely used with compacted input topics and at-least-once semantics.  Given the following records in the input topic: timestamp, key, value  1, 1, 1 2, 1,"
KAFKA-12503,"Resizing the thread cache in a non thread safe way can cause records to be redirected throughout the topology. When a thread is added, removed or replaced the cache is resized. When the thread cache was resized it was being done so from the thread initiating these calls. This can cause the record to be redirected to the wrong processor via the call to `evict` in the cache. The evict flushes records downstream to the next processor after the cache. But if this is on the wrong thread the wrong processor receives them.   This can cause 3 problems.  1) When the owner finishes processing the record it set the current node to null in the processor context a this then causes the other processor to throw an exception `StreamsException: Current node is unknown.`.   2) Depending on the type it can cause a class cast exception as the record is a different type. Mostly this happened when the value types were d",Resizing the thread cache in a non thread safe way can cause records to be redirected throughout the topology.,"I would also like to note that this was only observed in at least once processing guarantee  | Thanks for the summary [~wcarlson5] [~ableegoldman]. I'm wondering if we should fix it along with https://issues.apache.org/jira/browse/KAFKA-12500 together by adding a separate function in the cache  | Thanks for the writeup! If anyone reading this wants to check out the code for themselves, the methods and classes of note are (1) the ProcessorContext, which tracks a ""current node"" and forwards reco"
KAFKA-12500,"Cache memory is leaked after removing/replacing a StreamThread. We currently leak the memory given to a StreamThread for its cache after it gets shutdown due to being removed or replaced.   Removal: If the StreamThread is removing itself, or if a thread is being removed by an external caller but fails to shutdown within the allotted time, it won't be removed from the `threads` list to avoid freeing up it's thread id while still running. If the thread hasn't reached the DEAD state when we resize the cache, the new cache size per thread is computed based on the number of live threads, which includes the removed thread at this point.  Replacement: When a thread is replaced, we first shutdown that thread but hold off on removing it from the threads list until it's DEAD. Immediately after the shutdown we call addStreamThread to start up a new thread, which ","A StreamThread that fails to shut down within the removal timeout is intentionally left in the `threads` list, so its thread ID cannot be reused while it is still running.",Fixed
KAFKA-12492,Formatting of example RocksDBConfigSetter is messed up. See the example implementation class CustomRocksDBConfig in the docs for the rocksdb.config.setter  https://kafka.apache.org/documentation/streams/developer-guide/config-streams.html#rocksdb-config-setter,Formatting of example RocksDBConfigSetter is messed up.,"Sounds good to me. I will do a follow-up PR. | Merged, thanks for the PR! Unfortunately we just barely missed the 2.8 release, as John cut the RC earlier today. If you want to see this fix in the 2.8 docs then you'll need to submit this exact PR a | Do we need to run [local tests|https://github.com/apache/kafka/blob/trunk/README.md] and build trigger for this task as described here: [https://cwiki.apache.org/confluence/display/KAFKA/Contributing+"
KAFKA-12491,"RocksDB not being pulled in as a transitive dependency. In [pull/10203|https://github.com/apache/kafka/pull/10203] we stopped pulling in non-api dependencies and listed the rocksdb dependency as an implementation. However users may need to pull in RocksDB classes (such as Options, and various other sub-options such as TableFormatConfig). We should change this dependency to an api so that it gets pulled in as a transitive dependency and users aren't required to pull it in themselves and maintain compatibility",RocksDB not being pulled in as a transitive dependency.,Fixed
KAFKA-12474,"Worker can die if unable to write new session key. If a distributed worker is unable to write (and then read back) a new session key to the config topic, an uncaught exception will be thrown from its herder's tick thread, killing the worker.  See [https://github.com/apache/kafka/blob/8da65936d7fc53d24c665c0d01893d25a430933b/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/DistributedHerder.java#L366-L369]  One way we can handle this case by forcing a read to the end of the config topic whenever an attempt to write a new session key to the config topic fails.",Worker can die if unable to write new session key.,"Merged to the `trunk` branch after the `2.8` branch was created and after code freeze, and merged to:  * the `2.5` branch (for inclusion in upcoming 2.5.2),   * the `2.6` branch (for inclusion in upco"
KAFKA-12462,"Threads in PENDING_SHUTDOWN entering a rebalance can cause an illegal state exception . A thread was removed, sending it to the PENDING_SHUTDOWN state, but went through a rebalance before completing the shutdown. {code:java} // [2021-03-07 04:33:39,385] DEBUG [i-07430efc31ad166b7-StreamThread-6] stream-thread [i-07430efc31ad166b7-StreamThread-6] Ignoring request to transit from PENDING_SHUTDOWN to PARTITIONS_REVOKED: only DEAD state is a valid next state (org.apache.kafka.streams.processor.internals.StreamThread) {code} Inside StreamsRebalanceListener#onPartitionsRevoked, we have {code:java} //  if (streamThread.setState(State.PARTITIONS_REVOKED) != null && !partitions.isEmpty())     taskManager.handleRevocation(partitions); {code} Since PENDING_SHUTDOWN → PARTITIONS_REVOKED is a disallowed transition, we never invoke TaskManager#handleRevocation. Currently handleRevocation i",Threads in PENDING_SHUTDOWN entering a rebalance can cause an illegal state exception.,"The only real downside in 2.7 is that we won't properly clean up the task, ie we'll skip committing the offsets and writing the checkpoint. So we'd lose any work we did since the last commit – for EOS | If we were shutting down the whole client the thread would become dead either way. In 2.7 I think the only impact it would have is that the handler would get called after the close call when it should | Thanks Walker! This actually seems like a long-lurking bug that was just surfaced by the removeStreamThread() feature, not caused by it. Before we could remove threads this was only possible when shut"
KAFKA-12455,OffsetValidationTest.test_broker_rolling_bounce failing for Raft quorums. OffsetValidationTest.test_broker_rolling_bounce in `consumer_test.py` is failing because the consumer group is rebalancing unexpectedly.,the consumer group is rebalancing unexpectedly.,"The test is using the default value of metadata.max.age.ms=300000 (5 minutes).  When I explicitly turn it down to metadata.max.age.ms=5000 (5 seconds) the test passes for Raft but then fails for ZK (2 | I looked at the brokers' metadata caches for the two separate configurations -- ZK vs. Raft -- to find out what percentage of the time they showed showed 1 alive broker instead of 2.  I was expecting  | With a 2-broker cluster that undergoes a series of 5 rolling restarts (which is what is happening here), in the Raft case, the consumers sometimes receive a `MetadataResponse` that has only a single b"
KAFKA-12435,Several streams-test-utils classes missing from javadoc. !image-2021-03-05-14-22-45-891.png!  Only 3 of them show up currently ^. Source: https://kafka.apache.org/27/javadoc/index.html,Several streams-test-utils classes missing from javadoc. !image-2021-03-05-14-22-45-891.png!.,"Thanks for the report, [~ijuma] . The errors are unintuitive, but it seems to be because we're publishing javadocs for public APIs in the test-utils module that import internal classes from the main S | cc [~mjsax] [~vvcephei] | If you run `aggregatedJavadoc` with Java 8, you will see some warnings that are likely related. With Java 11, the same warnings are transformed into errors: {quote}/home/ijuma/src/kafka/streams/test-u"
KAFKA-12427,Broker does not close muted idle connections with buffered data. ,Broker does not close muted idle connections with buffered data.,Fixed
KAFKA-12426,"Missing logic to create partition.metadata files in RaftReplicaManager. As part of KIP-516, the broker should create a partition.metadata file for each partition in order to keep track of the topicId. This is done through `Partition.checkOrSetTopicId`. We have the logic for this in `ReplicaManager.becomeLeaderOrFollower` already, but we need to implement analogous logic in `RaftReplicaManager.handleMetadataRecords`.","I'd suggest we target 2.8.1 for now, but if the patch is not too crazy, we might still be able to get it in | While working on this bug, I caught another small bug in ReplicaManager due to changing the position of the topic ID check (to prevent handling a request for an inconsistent ID).","[~jolshan] Thanks, good find. Since it is not a regression, it's tough to call it a blocker. I'd suggest we target 2.8.1 for now, but if the patch is not too crazy, we might still be able to get it in | While working on this bug, I caught another small bug in ReplicaManager due to changing the position of the topic ID check (to prevent handling a request for an inconsistent ID).  I realized that on t"
